old_value,new_value,in_bc
90091,'T-950OPL6-2',True
90092,'C-6601',False
90316,'9150-049-002',True
90362,'DX-9544-090-001',False
90476,'BluKey',False
90483,'C-5900',True
90494,'Rental of SP-45',False
90500,'T-900OPL6',True
90501,'U380619Z',True
90508,'W11089533',True
90509,'C-5403',True
90712,'M70655103',True
90726,'205217P',True
90727,'205218P',False
90789,'U380619Z',True
91101,'EXT34-T',False
91104,'Gas surcharge - Z 6',False
91105,'Serv. charge - Z 6',False
91116,'96P057A71',True
91119,'Monarch Key TD-0687',False
91132,'16A-KIT-01',False
91139,'Remove old equip',False
91142,'#494',False
91147,'VM120N',False
91148,'CA RCC-32',True
91153,'Install equipment',False
91154,'JBX-T-CH',False
91156,'W10314173',True
91180,'33950',True
91187,'WH12X10081',True
91190,'96P016A71',True
91191,'BR040700007',True
91192,'WH23X10030',True
91199,'CA TFD-244',True
91201,'SimaLube Oiler',False
91203,'CART6',False
91207,'CG511139',True
91213,'U8485401',True
91217,'FA-12097621',False
91219,'33698054',False
91220,'U380618Z',True
91222,'U380629Z',True
91226,'2W00100',False
91232,'U381702Z',True
91244,'After h /emerg call',False
91247,'A100604',True
91248,'W11205048',True
91249,'W11117409',True
91252,'WP11112160',True
91255,'W487183179',True
91259,'Delivery',False
91267,'M70468901',True
91268,'W10860788',False
91269,'C-5602',True
91271,'HETPWHC1001-PSW',True
91276,'Y71GF-4',False
91277,'9029-323-001',False
91278,'W11368858',True
91281,'9473-004-009',True
91282,'0995-114-006',True
91283,'0995-114-007',True
91284,'0995-114-052',True
91285,'0995-114-051',True
91288,'314A149',False
91289,'A128915Z',True
91290,'AC1093',True
91291,'91671',True
91292,'9473-004-010',True
91295,'C-5665',False
91296,'C-5671-ASSEM',False
91297,'C-5678',True
91299,'AC1005',True
91301,'Two-man labor',False
91306,'A130109Z',True
91312,'5V0304',False
91313,'C-1251',True
91314,'CG322701',True
91315,'CG569442',True
91316,'C-1009',False
91318,'Maytag rental',False
91319,'96P058A71',True
91320,'1-250A',True
91321,'160169',False
91322,'W10314173',True
91323,'W10131172',True
91324,'9444-006-001',True
91325,'C-0905',True
92269,'9885-024-001',True
94156,'GBE-T-BL',False
94176,'02 03588B',True
94182,'CA TFD-304',True
94183,'2" UNISEAL',True
94188,'TD-KEY-NC',False
94205,'5H00503',False
94206,'C-5602R1',False
94208,'WPW10354795',True
94211,'A881597Z',True
94212,'CG600551',True
94215,'3394341',False
94322,'9375-036-026',True
94327,'9379-183-003',True
94421,'9732-310-001',True
94579,'C-1061',True
94580,'C-1061-N',True
94581,'C-1252',True
94584,'CSTR88G',True
94592,'331A101',True
94593,'M76064Z',True
94594,'316E207',True
94595,'316E402',True
94598,'4K01293-FI',True
94599,'Stand Change Repair',False
94602,'1-SL000012-2',False
94603,'02 10545',True
94607,'HDW-050',True
94608,'HDW051',True
94609,'45489',False
94613,'9732-344-001',True
94616,'9412-233-002',True
94619,'9473-010-010',False
94624,'5L00122',True
94625,'M4640P3Z',True
94626,'9412-261-002',True
94627,'C-5520',True
94631,'D113634',True
94632,'MNT94309B',False
94641,'M400522BZ',True
94642,'RMG040P',True
94645,'CG2853853',False
94650,'21698',False
94653,'AD-WFR500302',False
94654,'RMG040.S-6"',True
94658,'487 006824',True
94659,'W487006828',True
94660,'WS-487230931',False
94661,'WS-487230930',False
94662,'W487143825',True
94663,'9150-058-001',True
94678,'94678',False
94688,'5V00220',True
94689,'4C00317-REV1',False
94692,'AD-WFR819573',False
94694,'WFR830333',True
94695,'Y23002897',True
94704,'316E302',True
94705,'W10311051',True
94706,'9534-369-001',True
94710,'CG333237',True
94711,'422204',True
94712,'333195',True
94713,'343731',True
94714,'422196',True
94715,'CG430876',True
94716,'333229',True
94717,'333245',True
94718,'CG422212',True
94719,'333252',True
94720,'W10198440',True
94723,'M44222702',True
94724,'5V00304',True
94725,'KTO75NNN0RXX6W00',False
94726,'94726',False
94727,'M400954Z',True
94728,'94728',False
94729,'94729',False
94730,'116520',True
94731,'A130201',True
94733,'94733',False
94735,'94735',False
128942,'21216',True
128948,'128948',False
124417,'WS-0024000126C',False
128900,'CA CMD-3',True
